name_contract_type,code_gender,flag_own_car,flag_own_realty,cnt_children,amt_income_total,amt_credit,amt_annuity,amt_goods_price,name_type_suite,name_income_type,name_education_type,name_family_status,name_housing_type,region_population_relative,days_birth,days_employed,days_registration,days_id_publish,flag_emp_phone,flag_work_phone,flag_cont_mobile,flag_phone,cnt_fam_members,region_rating_client,region_rating_client_w_city
1,1,2,1,0,202500.0,406597.5,24700.5,351000.0,4,7,2,4,2,0.018801,-9461,-637,-3648.0,-2120,1,2,1,1,1.0,2,2
1,2,2,2,0,270000.0,1293502.5,35698.5,1129500.0,5,1,5,5,2,0.003540999999999999,-16765,-1188,-1186.0,-291,1,2,1,1,2.0,1,1
2,1,1,1,0,67500.0,135000.0,6750.0,135000.0,4,7,2,4,2,0.010032,-19046,-225,-4260.0,-2531,1,1,1,1,1.0,2,2
1,2,2,1,0,135000.0,312682.5,29686.5,297000.0,4,7,2,2,2,0.008019,-19005,-3039,-9833.0,-2437,1,2,1,2,2.0,2,2
1,1,2,1,0,121500.0,513000.0,21865.5,513000.0,4,7,2,4,2,0.028663,-19932,-3038,-4311.0,-3458,1,2,1,2,1.0,2,2
1,1,2,1,0,99000.0,490495.5,27517.5,454500.0,7,1,2,5,2,0.035792000000000004,-16941,-1588,-4970.0,-477,1,1,1,1,2.0,2,2
1,2,1,1,1,171000.0,1560726.0,41301.0,1395000.0,4,8,5,5,2,0.035792000000000004,-13778,-3130,-1213.0,-619,1,2,1,1,3.0,2,2
1,1,1,1,0,360000.0,1530000.0,42075.0,1530000.0,4,1,5,5,2,0.0031219999999999998,-18850,-449,-4597.0,-2379,1,1,1,2,2.0,3,3
1,2,2,1,0,112500.0,1019610.0,33826.5,913500.0,2,3,2,5,2,0.018634,-20099,365243,-7427.0,-3514,2,2,1,2,2.0,2,2
2,1,2,1,0,135000.0,405000.0,20250.0,405000.0,4,7,2,4,2,0.019688999999999998,-14469,-2019,-14437.0,-3992,1,2,1,2,1.0,2,2
1,2,2,1,1,112500.0,652500.0,21177.0,652500.0,4,7,5,5,2,0.0228,-10197,-679,-4427.0,-738,1,2,1,2,3.0,2,2
1,2,2,1,0,38419.155,148365.0,10678.5,135000.0,2,3,2,5,2,0.015221,-20417,365243,-5246.0,-2512,2,2,1,1,2.0,2,2
1,2,2,1,0,67500.0,80865.0,5881.5,67500.0,4,7,2,5,2,0.031329,-13439,-2717,-311.0,-3227,1,1,1,1,2.0,2,2
1,1,1,2,1,225000.0,918468.0,28966.5,697500.0,4,7,2,5,2,0.016612000000000002,-14086,-3028,-643.0,-4911,1,2,1,2,3.0,2,2
1,2,2,1,0,189000.0,773680.5,32778.0,679500.0,4,7,2,5,2,0.010006000000000001,-14583,-203,-615.0,-2056,1,2,1,2,2.0,2,1
1,1,1,1,0,157500.0,299772.0,20160.0,247500.0,5,7,2,4,3,0.020713,-8728,-1157,-3494.0,-1368,1,2,1,2,1.0,3,3
1,1,2,2,0,108000.0,509602.5,26149.5,387000.0,4,7,2,5,2,0.018634,-12931,-1317,-6392.0,-3866,1,2,1,2,2.0,2,2
2,2,2,1,1,81000.0,270000.0,13500.0,270000.0,4,7,2,5,2,0.010966,-9776,-191,-4143.0,-2427,1,2,1,2,3.0,2,2
2,2,2,1,0,112500.0,157500.0,7875.0,157500.0,6,7,2,3,2,0.04622,-17718,-7804,-8751.0,-1259,1,2,1,1,1.0,1,1
1,2,2,1,1,90000.0,544491.0,17563.5,454500.0,4,1,5,4,2,0.015221,-11348,-2038,-1021.0,-3964,1,1,1,1,2.0,2,2
2,1,1,1,0,135000.0,427500.0,21375.0,427500.0,4,7,2,5,2,0.015221,-18252,-4286,-298.0,-1800,1,2,1,2,2.0,2,2
1,2,1,1,1,202500.0,1132573.5,37561.5,927000.0,4,8,2,5,2,0.025164,-14815,-1652,-2299.0,-2299,1,2,1,2,3.0,2,2
1,2,2,2,1,450000.0,497520.0,32521.5,450000.0,4,7,2,5,3,0.020713,-11146,-4306,-114.0,-2518,1,2,1,2,3.0,3,2
1,2,2,1,0,83250.0,239850.0,23850.0,225000.0,4,3,2,5,2,0.006296,-24827,365243,-9012.0,-3684,2,2,1,1,2.0,3,3
1,1,1,2,2,135000.0,247500.0,12703.5,247500.0,4,7,2,5,2,0.026392000000000002,-11286,-746,-108.0,-3729,1,2,1,2,4.0,2,2
1,2,2,1,0,90000.0,225000.0,11074.5,225000.0,4,7,2,5,2,0.028663,-19334,-3494,-2419.0,-2893,1,2,1,1,2.0,2,2
1,2,2,1,0,112500.0,979992.0,27076.5,702000.0,4,7,2,3,2,0.018029,-18724,-2628,-6573.0,-1827,1,2,1,2,1.0,3,2
1,1,2,1,1,112500.0,327024.0,23827.5,270000.0,5,7,2,5,2,0.019101,-15948,-1234,-5782.0,-3153,1,2,1,2,3.0,2,2
1,1,1,1,0,270000.0,790830.0,57676.5,675000.0,4,1,5,4,2,0.04622,-9994,-1796,-4668.0,-2661,1,2,1,2,1.0,1,1
2,1,2,1,0,90000.0,180000.0,9000.0,180000.0,4,7,5,4,6,0.030755,-10341,-1010,-4799.0,-3015,1,2,1,2,1.0,2,2
1,2,2,1,0,292500.0,665892.0,24592.5,477000.0,4,8,2,2,2,0.025164,-15280,-2668,-5266.0,-3787,1,2,1,2,2.0,2,2
1,2,2,1,0,112500.0,512064.0,25033.5,360000.0,5,7,2,2,2,0.008575,-11144,-1104,-7846.0,-2904,1,2,1,2,2.0,2,2
1,2,2,2,0,90000.0,199008.0,20893.5,180000.0,4,7,2,2,2,0.010032,-12974,-4404,-7123.0,-4464,1,1,1,2,2.0,2,2
1,1,1,2,1,360000.0,733315.5,39069.0,679500.0,4,8,2,5,2,0.015221,-11694,-2060,-3557.0,-3557,1,2,1,2,3.0,2,2
1,2,2,1,0,135000.0,1125000.0,32895.0,1125000.0,4,1,5,5,2,0.019688999999999998,-15997,-4585,-5735.0,-4067,1,2,1,2,2.0,2,2
1,2,2,2,0,112500.0,450000.0,44509.5,450000.0,4,7,5,5,2,0.008575,-12158,-1275,-6265.0,-2009,1,1,1,1,2.0,2,2
1,2,2,1,2,198000.0,641173.5,23157.0,553500.0,4,8,2,5,2,0.01885,-17199,-768,-63.0,-735,1,1,1,1,4.0,2,2
1,1,2,1,0,121500.0,454500.0,15151.5,454500.0,4,7,2,5,2,0.030755,-21077,-1288,-5474.0,-4270,1,2,1,1,2.0,2,2
1,2,2,1,0,99000.0,247275.0,17338.5,225000.0,4,3,2,5,2,0.006207,-23920,365243,-9817.0,-4969,2,2,1,1,2.0,2,2
2,1,1,1,0,180000.0,540000.0,27000.0,540000.0,4,7,5,5,2,0.025164,-16126,-1761,-8236.0,-4292,1,2,1,2,2.0,2,2
1,1,2,1,0,202500.0,1193580.0,35028.0,855000.0,4,8,2,5,2,0.025164,-17482,-1262,-1182.0,-1029,1,2,1,2,2.0,2,2
1,2,2,1,0,202500.0,604152.0,29196.0,540000.0,4,7,2,5,2,0.009175,-16971,-475,-3148.0,-513,1,2,1,1,2.0,2,2
1,2,2,2,0,135000.0,288873.0,16258.5,238500.0,4,7,2,2,2,0.007305,-13384,-3597,-45.0,-4409,1,1,1,1,2.0,3,3
1,2,2,1,0,108000.0,746280.0,42970.5,675000.0,4,3,5,4,2,0.010966,-23548,365243,-5745.0,-4576,2,2,1,2,1.0,2,2
1,1,2,1,0,202500.0,661702.5,48280.5,598500.0,4,7,2,2,2,0.007114,-9827,-758,-4166.0,-2380,1,1,1,2,2.0,2,2
2,2,2,1,1,90000.0,180000.0,9000.0,180000.0,5,7,2,2,2,0.009334,-7974,-895,-6591.0,-642,1,1,1,2,3.0,2,2
1,2,2,1,0,202500.0,305221.5,17649.0,252000.0,5,3,2,4,2,0.019688999999999998,-20373,365243,-7760.0,-1993,2,2,1,2,1.0,2,2
1,2,2,1,0,99000.0,260640.0,26838.0,225000.0,4,7,2,5,2,0.022625,-20121,-5332,-9197.0,-3283,1,1,1,1,2.0,2,2
1,2,2,2,0,130500.0,1350000.0,37255.5,1350000.0,4,1,2,5,2,0.020713,-19727,-4411,-6225.0,-3199,1,1,1,1,2.0,3,3
